"Time","Air Temp - Lascar (high res)"
1627324200000,31
1627324500000,30.5
1627324800000,30.5
1627325100000,30.5
1627325400000,30.5
1627325700000,30.5
1627326000000,30.5
1627326300000,30.5
1627326600000,30.5
1627326900000,30.5
1627327200000,30.5
1627327500000,30
1627327800000,30
1627328100000,30
1627328400000,30
1627328700000,30
1627329000000,30
1627329300000,30
1627329600000,30
1627329900000,30
1627330200000,30
1627330500000,30
1627330800000,29.5
1627331100000,29.5
1627331400000,29.5
1627331700000,29.5
1627332000000,29.5
1627332300000,29.5
1627332600000,29.5
1627332900000,29.5
1627333200000,29.5
1627333500000,29.5
1627333800000,29.5
1627334100000,29.5
1627334400000,29
1627334700000,29
1627335000000,29
1627335300000,29
1627335600000,29
1627335900000,29
1627336200000,29
1627336500000,29
1627336800000,29
1627337100000,29
1627337400000,29
1627337700000,29
1627338000000,29
1627338300000,29
1627338600000,28.5
1627338900000,28.5
1627339200000,28.5
1627339500000,28.5
1627339800000,28.5
1627340100000,28.5
1627340400000,28.5
1627340700000,28.5
1627341000000,28.5
1627341300000,28.5
1627341600000,28.5
1627341900000,28.5
1627342200000,28.5
1627342500000,28.5
1627342800000,28.5
1627343100000,28.5
1627343400000,28
1627343700000,28
1627344000000,28
1627344300000,28
1627344600000,28
1627344900000,28
1627345200000,28
1627345500000,28
1627345800000,28
1627346100000,28
1627346400000,28
1627346700000,28
1627347000000,28
1627347300000,28
1627347600000,28
1627347900000,28
1627348200000,28
1627348500000,28
1627348800000,28
1627349100000,28
1627349400000,28
1627349700000,28
1627350000000,27.5
1627350300000,27.5
1627350600000,27.5
1627350900000,27.5
1627351200000,27.5
1627351500000,27.5
1627351800000,27.5
1627352100000,27.5
1627352400000,27.5
1627352700000,27.5
1627353000000,27.5
1627353300000,27.5
1627353600000,27.5
1627353900000,27.5
1627354200000,27.5
1627354500000,27.5
1627354800000,27.5
1627355100000,27.5
1627355400000,27.5
1627355700000,27.5
1627356000000,27.5
1627356300000,27.5
1627356600000,27.5
1627356900000,27.5
1627357200000,27
1627357500000,27
1627357800000,27
1627358100000,27
1627358400000,27
1627358700000,27
1627359000000,27
1627359300000,27
1627359600000,27
1627359900000,27
1627360200000,27
1627360500000,27
1627360800000,27
1627361100000,27
1627361400000,27
1627361700000,27
1627362000000,27
1627362300000,27
1627362600000,27
1627362900000,27
1627363200000,27
1627363500000,27
1627363800000,27
1627364100000,27
1627364400000,27
1627364700000,27
1627365000000,27
1627365300000,27
1627365600000,26.5
1627365900000,26.5
1627366200000,26.5
1627366500000,26.5
1627366800000,26.5
1627367100000,26.5
1627367400000,26.5
1627367700000,26.5
1627368000000,26.5
1627368300000,26.5
1627368600000,26.5
1627368900000,26.5
1627369200000,26.5
1627369500000,26.5
1627369800000,26.5
1627370100000,26.5
1627370400000,26.5
1627370700000,26.5
1627371000000,26.5
1627371300000,26.5
1627371600000,26.5
1627371900000,26.5
1627372200000,26.5
1627372500000,26.5
1627372800000,26.5
1627373100000,26.5
1627373400000,26.5
1627373700000,26.5
1627374000000,26.5
1627374300000,26.5
1627374600000,26.5
1627374900000,26.5
1627375200000,26.5
1627375500000,26.5
1627375800000,26.5
1627376100000,26.5
1627376400000,26.5
1627376700000,27
1627377000000,27
1627377300000,27
1627377600000,27
1627377900000,27
1627378200000,27
1627378500000,27
1627378800000,27
1627379100000,27
1627379400000,27
1627379700000,27
1627380000000,27
1627380300000,27
1627380600000,27.5
1627380900000,27.5
1627381200000,27.5
1627381500000,27.5
1627381800000,27.5
1627382100000,27.5
1627382400000,27.5
1627382700000,27.5
1627383000000,27.5
1627383300000,27.5
1627383600000,27.5
1627383900000,27.5
1627384200000,28
1627384500000,28
1627384800000,28
1627385100000,28
1627385400000,28
1627385700000,28
1627386000000,28
1627386300000,28
1627386600000,28
1627386900000,28
1627387200000,28
1627387500000,28
1627387800000,28
1627388100000,28
1627388400000,28
1627388700000,28
1627389000000,28.5
1627389300000,28.5
1627389600000,28.5
1627389900000,28.5
1627390200000,28.5
1627390500000,28.5
1627390800000,28.5
1627391100000,28.5
1627391400000,28.5
1627391700000,28.5
1627392000000,28.5
1627392300000,28.5
1627392600000,28.5
1627392900000,28.5
1627393200000,28.5
1627393500000,28.5
1627393800000,28.5
1627394100000,28.5
1627394400000,28.5
1627394700000,28.5
1627395000000,28.5
1627395300000,28.5
1627395600000,28.5
1627395900000,28.5
1627396200000,28.5
1627396500000,28.5
1627396800000,28.5
1627397100000,28.5
1627397400000,28.5
1627397700000,28.5
1627398000000,28.5
1627398300000,29
1627398600000,29
1627398900000,29
1627399200000,29
1627399500000,29
1627399800000,29
1627400100000,29
1627400400000,29
1627400700000,29
1627401000000,29
1627401300000,29
1627401600000,29
1627401900000,29
1627402200000,29
1627402500000,29
1627402800000,29
1627403100000,29
1627403400000,29
1627403700000,29
1627404000000,29
1627404300000,29
1627404600000,29
1627404900000,29
1627405200000,29
1627405500000,29
1627405800000,29
1627406100000,28.5
1627406400000,28.5
1627406700000,28.5
1627407000000,28.5
1627407300000,28.5
1627407600000,28.5
1627407900000,28.5
1627408200000,28.5
1627408500000,28.5
1627408800000,28.5
1627409100000,28.5
1627409400000,28.5
1627409700000,28.5
1627410000000,28.5
1627410300000,28.5
1627410600000,28.5
1627410900000,28.5
1627411200000,28
1627411500000,28
1627411800000,28
1627412100000,28
1627412400000,28
1627412700000,28
1627413000000,28
1627413300000,28
1627413600000,28
1627413900000,28
1627414200000,28
1627414500000,28
1627414800000,28
1627415100000,28
1627415400000,28
1627415700000,27.5
1627416000000,27.5
1627416300000,27.5
1627416600000,27.5
1627416900000,27.5
1627417200000,27.5
1627417500000,27.5
1627417800000,27.5
1627418100000,27.5
1627418400000,27.5
1627418700000,27.5
1627419000000,27.5
1627419300000,27.5
1627419600000,27.5
1627419900000,27.5
1627420200000,27.5
1627420500000,27.5
1627420800000,27.5
1627421100000,27
1627421400000,27
1627421700000,27
1627422000000,27
1627422300000,27
1627422600000,27
1627422900000,27
1627423200000,27
1627423500000,27
1627423800000,27
1627424100000,27
1627424400000,27
1627424700000,27
1627425000000,27
1627425300000,27
1627425600000,27
1627425900000,27
1627426200000,27
1627426500000,27
1627426800000,27
1627427100000,27
1627427400000,27
1627427700000,27
1627428000000,27
1627428300000,26.5
1627428600000,26.5
1627428900000,26.5
1627429200000,26.5
1627429500000,26.5
1627429800000,26.5
1627430100000,26.5
1627430400000,26.5
1627430700000,26.5
1627431000000,26.5
1627431300000,26.5
1627431600000,26.5
1627431900000,26.5
1627432200000,26.5
1627432500000,26.5
1627432800000,26.5
1627433100000,26.5
1627433400000,26.5
1627433700000,26.5
1627434000000,26.5
1627434300000,26.5
1627434600000,26.5
1627434900000,26.5
1627435200000,26.5
1627435500000,26.5
1627435800000,26.5
1627436100000,26.5
1627436400000,26.5
1627436700000,26.5
1627437000000,26.5
1627437300000,26
1627437600000,26
1627437900000,26
1627438200000,26
1627438500000,26
1627438800000,26
1627439100000,26
1627439400000,26
1627439700000,26
1627440000000,26
1627440300000,26
1627440600000,26
1627440900000,26
1627441200000,26
1627441500000,26
1627441800000,26
1627442100000,26
1627442400000,26
1627442700000,26
1627443000000,26
1627443300000,26
1627443600000,26
1627443900000,26
1627444200000,26
1627444500000,26
1627444800000,26
1627445100000,26
1627445400000,26
1627445700000,26
1627446000000,26
1627446300000,25.5
