Time,Air Temperature (full resolution)
1623904800000,12.51
1623905400000,12.48
1623906000000,12.53
1623906600000,12.66
1623907200000,12.8
1623907800000,12.8
1623908400000,12.77
1623909000000,12.86
1623909600000,12.96
1623910200000,13.17
1623910800000,13.34
1623911400000,13.41
1623912000000,13.52
1623912600000,13.64
1623913200000,13.71
1623913800000,13.84
1623914400000,14.1
1623915000000,14.29
1623915600000,14.5
1623916200000,14.66
1623916800000,14.85
1623917400000,14.99
1623918000000,15.03
1623918600000,15.27
1623919200000,15.3
1623919800000,15.32
1623920400000,15.55
1623921000000,15.63
1623921600000,15.53
1623922200000,15.46
1623922800000,15.41
1623923400000,15.45
1623924000000,15.57
1623924600000,15.59
1623925200000,15.56
1623925800000,15.87
1623926400000,16.73
1623927000000,17.17
1623927600000,17.44
1623928200000,17.5
1623928800000,17.48
1623929400000,17.31
1623930000000,17.36
1623930600000,17.76
1623931200000,17.78
1623931800000,17.58
1623932400000,17.51
1623933000000,17.65
1623933600000,17.61
1623934200000,17.81
1623934800000,17.59
1623935400000,17.73
1623936000000,17.61
1623936600000,17.6
1623937200000,17.65
1623937800000,17.62
1623938400000,17.57
1623939000000,17.7
1623939600000,17.35
1623940200000,17.35
1623940800000,17.29
1623941400000,17.52
1623942000000,17.54
1623942600000,17.27
1623943200000,17.59
1623943800000,17.38
1623944400000,17.45
1623945000000,17.46
1623945600000,17.53
1623946200000,17.42
1623946800000,17.46
1623947400000,17.41
1623948000000,17.31
1623948600000,16.9
1623949200000,16.99
1623949800000,17.02
1623950400000,17.11
1623951000000,16.82
1623951600000,16.74
1623952200000,16.77
1623952800000,16.74
1623953400000,16.45
1623954000000,16.62
1623954600000,16.63
1623955200000,16.66
1623955800000,16.64
1623956400000,16.39
1623957000000,16.23
1623957600000,16.17
1623958200000,16.07
1623958800000,15.96
1623959400000,15.72
1623960000000,15.45
1623960600000,15.14
1623961200000,14.83
1623961800000,14.6
1623962400000,14.28
1623963000000,13.83
1623963600000,13.57
1623964200000,13.28
1623964800000,13.02
1623965400000,12.78
1623966000000,12.61
1623966600000,12.38
1623967200000,12.16
1623967800000,11.84
1623968400000,11.45
1623969000000,11.36
1623969600000,11.05
1623970200000,10.81
1623970800000,10.62
1623971400000,10.52
1623972000000,10.42
1623972600000,10.38
1623973200000,10.35
1623973800000,10.34
1623974400000,9.99
1623975000000,10.22
1623975600000,10.66
1623976200000,10.75
1623976800000,10.74
1623977400000,10.68
1623978000000,10.35
1623978600000,10.09
1623979200000,10.19
1623979800000,10.9
1623980400000,10.96
1623981000000,11.16
1623981600000,11.1
1623982200000,11
1623982800000,10.82
1623983400000,10.7
1623984000000,10.61
1623984600000,10.62
1623985200000,10.62
1623985800000,10.62
1623986400000,10.61
1623987000000,10.57
1623987600000,10.53
1623988200000,10.54
1623988800000,10.62
1623989400000,10.73
1623990000000,10.64
1623990600000,10.59
1623991200000,10.04
1623991800000,10.28
1623992400000,10.8
1623993000000,11.07
1623993600000,11.05
1623994200000,10.93
1623994800000,11.2
1623995400000,11.33
1623996000000,11.52
1623996600000,11.91
1623997200000,11.98
1623997800000,12.31
1623998400000,12.79
1623999000000,12.78
1623999600000,13.15
1624000200000,13.37
1624000800000,13.62
1624001400000,13.43
1624002000000,13.27
1624002600000,14.07
1624003200000,14.23
1624003800000,14.59
1624004400000,14.49
1624005000000,14.84
1624005600000,14.79
1624006200000,15.31
1624006800000,15.83
1624007400000,15.94
1624008000000,16.26
1624008600000,16.48
1624009200000,16.93
1624009800000,17.19
1624010400000,17.56
1624011000000,17.65
1624011600000,17.66
1624012200000,17.86
1624012800000,17.57
1624013400000,17.16
1624014000000,17.14
1624014600000,17.07
1624015200000,16.93
1624015800000,16.93
1624016400000,17.03
1624017000000,17
1624017600000,17.12
1624018200000,17.39
1624018800000,17.55
1624019400000,17.8
1624020000000,17.86
1624020600000,17.78
1624021200000,17.67
1624021800000,17.76
1624022400000,18.17
1624023000000,18.91
1624023600000,19.11
1624024200000,18.81
1624024800000,18.36
1624025400000,18.22
1624026000000,18.26
1624026600000,18.39
1624027200000,18.37
1624027800000,18.1
1624028400000,17.94
1624029000000,17.72
1624029600000,17.73
1624030200000,17.6
1624030800000,17.49
1624031400000,17.39
1624032000000,17.41
1624032600000,17.22
1624033200000,17.14
1624033800000,17.14
1624034400000,17.21
1624035000000,17.17
1624035600000,17.1
1624036200000,17.1
1624036800000,16.98
1624037400000,16.75
1624038000000,16.49
1624038600000,16.38
1624039200000,16.34
1624039800000,16.36
1624040400000,16.07
1624041000000,15.88
1624041600000,15.64
1624042200000,15.47
1624042800000,15.22
1624043400000,14.99
1624044000000,14.83
1624044600000,14.89
1624045200000,14.72
1624045800000,14.49
1624046400000,14.4
1624047000000,14.15
1624047600000,13.93
1624048200000,13.78
1624048800000,13.6
1624049400000,13.48
1624050000000,13.18
1624050600000,13.02
1624051200000,12.84
1624051800000,12.69
1624052400000,12.57
1624053000000,12.4
1624053600000,12.08
1624054200000,11.75
1624054800000,11.62
1624055400000,11.4
1624056000000,11.38
1624056600000,11.27
1624057200000,11.12
1624057800000,11.07
1624058400000,10.85
1624059000000,10.57
1624059600000,10.46
1624060200000,10.27
1624060800000,10.33
1624061400000,10.31
1624062000000,10.54
1624062600000,10.77
1624063200000,10.63
1624063800000,10.37
1624064400000,9.6
1624065000000,9.11
1624065600000,9.19
1624066200000,9.49
1624066800000,9.57
1624067400000,9.74
1624068000000,9.76
1624068600000,9.82
1624069200000,9.84
1624069800000,9.86
1624070400000,9.77
1624071000000,9.65
1624071600000,9.66
1624072200000,9.66
1624072800000,9.86
1624073400000,10.11
1624074000000,10.13
1624074600000,10.23
1624075200000,10.2
1624075800000,10.17
1624076400000,10.14
1624077000000,10.13
1624077600000,10.25
1624078200000,10.27
1624078800000,10.25
1624079400000,10.36
1624080000000,10.54
1624080600000,10.84
1624081200000,11.27
1624081800000,11.49
1624082400000,11.69
1624083000000,11.84
1624083600000,12.03
1624084200000,12.33
1624084800000,12.8
1624085400000,13
1624086000000,13.13
1624086600000,13.31
1624087200000,13.34
1624087800000,13.44
1624088400000,13.6
1624089000000,13.67
1624089600000,13.7
1624090200000,13.9
1624090800000,13.92
1624091400000,14.01
1624092000000,14.07
1624092600000,14.07
1624093200000,14.09
1624093800000,14.06
1624094400000,14.29
1624095000000,14.39
1624095600000,14.34
1624096200000,14.48
1624096800000,14.63
1624097400000,14.89
1624098000000,15.43
1624098600000,15.87
1624099200000,16.32
1624099800000,16.62
1624100400000,16.92
1624101000000,16.83
1624101600000,16.9
1624102200000,17.08
1624102800000,17.24
1624103400000,17.4
1624104000000,18
1624104600000,17.86
1624105200000,17.87
1624105800000,18.15
1624106400000,18.44
1624107000000,18.62
1624107600000,18.99
1624108200000,19.43
1624108800000,19.79
1624109400000,19.11
1624110000000,18.47
1624110600000,18.28
1624111200000,19.1
1624111800000,18.82
1624112400000,18.64
1624113000000,18.43
1624113600000,19.03
1624114200000,19.26
1624114800000,18.57
1624115400000,18.25
1624116000000,18.09
1624116600000,17.95
1624117200000,17.88
1624117800000,17.76
1624118400000,17.91
1624119000000,18.3
1624119600000,18.34
1624120200000,18.32
1624120800000,18.22
1624121400000,18.77
1624122000000,19.18
1624122600000,19.31
1624123200000,19.22
1624123800000,18.84
1624124400000,17.92
1624125000000,17.62
1624125600000,17.78
1624126200000,17.58
1624126800000,17.42
1624127400000,17.24
1624128000000,16.73
1624128600000,16.28
1624129200000,15.98
1624129800000,15.69
1624130400000,15.49
1624131000000,15.11
1624131600000,15
1624132200000,14.86
1624132800000,14.52
1624133400000,14.42
1624134000000,14.26
1624134600000,13.91
1624135200000,13.63
1624135800000,13.58
1624136400000,13.55
1624137000000,13.46
1624137600000,13.22
1624138200000,13.05
1624138800000,12.63
1624139400000,12.16
1624140000000,11.77
1624140600000,11.74
1624141200000,11.72
1624141800000,11.71
1624142400000,11.67
1624143000000,11.76
1624143600000,11.64
1624144200000,11.73
1624144800000,11.73
1624145400000,11.81
1624146000000,11.77
1624146600000,11.7
1624147200000,11.69
1624147800000,11.52
1624148400000,11.31
1624149000000,11.09
1624149600000,11.02
1624150200000,10.99
1624150800000,11.13
1624151400000,11.17
1624152000000,11.18
1624152600000,11.19
1624153200000,11.11
1624153800000,11.02
1624154400000,10.9
1624155000000,10.78
1624155600000,10.73
1624156200000,10.71
1624156800000,10.75
1624157400000,10.74
1624158000000,10.69
1624158600000,10.7
1624159200000,10.53
1624159800000,10.31
1624160400000,10.14
1624161000000,10.18
1624161600000,10.3
1624162200000,10.3
1624162800000,10.34
1624163400000,10.48
1624164000000,10.57
1624164600000,10.64
1624165200000,10.75
1624165800000,10.89
1624166400000,10.93
1624167000000,11.04
1624167600000,11.06
1624168200000,11.12
1624168800000,11.27
1624169400000,11.32
1624170000000,11.46
1624170600000,11.61
1624171200000,11.66
1624171800000,11.72
1624172400000,11.69
1624173000000,11.75
1624173600000,11.84
1624174200000,11.97
1624174800000,12.12
1624175400000,12.32
1624176000000,12.87
1624176600000,12.92
1624177200000,13.07
1624177800000,12.8
1624178400000,12.83
1624179000000,12.9
1624179600000,13.11
1624180200000,13.26
1624180800000,13.38
1624181400000,13.49
1624182000000,13.93
1624182600000,14.42
1624183200000,14.46
1624183800000,14.41
1624184400000,14.58
1624185000000,14.95
1624185600000,15.29
1624186200000,15.28
1624186800000,15.36
1624187400000,15.4
1624188000000,15.93
1624188600000,16.54
1624189200000,16.98
1624189800000,17.05
1624190400000,17.1
1624191000000,17.03
1624191600000,17.05
1624192200000,17.22
1624192800000,16.9
1624193400000,16.79
1624194000000,16.93
1624194600000,17.39
1624195200000,17.89
1624195800000,17.87
1624196400000,17.53
1624197000000,17.47
1624197600000,17.53
1624198200000,17.62
1624198800000,17.46
1624199400000,17.29
1624200000000,17.91
1624200600000,18.1
1624201200000,18.36
1624201800000,18.09
1624202400000,18.17
1624203000000,18.36
1624203600000,18.53
1624204200000,18.69
1624204800000,17.74
1624205400000,17.32
1624206000000,16.86
1624206600000,16.49
1624207200000,16.39
1624207800000,16.29
1624208400000,16.4
1624209000000,16.65
1624209600000,16.88
1624210200000,16.9
1624210800000,16.95
1624211400000,17.01
1624212000000,17.69
1624212600000,18.04
1624213200000,17.9
1624213800000,17.91
1624214400000,18.05
1624215000000,17.94
1624215600000,17.87
1624216200000,17.77
1624216800000,17.91
1624217400000,17.78
1624218000000,16.71
1624218600000,16.01
1624219200000,15.45
1624219800000,14.81
1624220400000,14.26
1624221000000,13.81
1624221600000,13.28
1624222200000,12.74
1624222800000,12.48
1624223400000,12.38
1624224000000,12.36
1624224600000,12.38
1624225200000,12.24
1624225800000,12.57
1624226400000,12.53
1624227000000,12.65
1624227600000,12.26
1624228200000,11.69
1624228800000,11.36
1624229400000,11.11
1624230000000,10.69
1624230600000,10.47
1624231200000,11.23
1624231800000,11.52
1624232400000,11.6
1624233000000,11.77
1624233600000,11.67
1624234200000,11.87
1624234800000,12.09
1624235400000,12.36
1624236000000,12.41
1624236600000,12.27
1624237200000,12.08
1624237800000,11.88
1624238400000,11.49
1624239000000,10.95
1624239600000,10.63
1624240200000,10.28
1624240800000,10.42
1624241400000,10.27
1624242000000,9.76
1624242600000,9.48
1624243200000,9.4
1624243800000,9.4
1624244400000,9.18
1624245000000,9.16
1624245600000,8.78
1624246200000,8.41
1624246800000,8.4
1624247400000,8.87
1624248000000,9.47
1624248600000,9.84
1624249200000,9.9
1624249800000,10.02
1624250400000,9.31
1624251000000,9.44
1624251600000,10.51
1624252200000,11.12
1624252800000,10.07
1624253400000,9.87
1624254000000,10.24
1624254600000,10.39
1624255200000,10.66
1624255800000,10.86
1624256400000,10.92
1624257000000,11.24
1624257600000,11.46
1624258200000,11.48
1624258800000,11.71
1624259400000,12.33
1624260000000,12.64
1624260600000,12.75
1624261200000,12.68
1624261800000,12.64
1624262400000,12.47
1624263000000,12.12
1624263600000,11.67
1624264200000,11.6
1624264800000,11.79
1624265400000,12.21
1624266000000,12.56
1624266600000,12.62
1624267200000,12.57
1624267800000,12.68
1624268400000,12.78
1624269000000,12.89
1624269600000,12.97
1624270200000,13.05
1624270800000,12.97
1624271400000,12.88
1624272000000,12.87
1624272600000,12.86
1624273200000,12.93
1624273800000,12.78
1624274400000,12.72
1624275000000,12.78
1624275600000,12.87
1624276200000,12.83
1624276800000,12.88
1624277400000,13.03
1624278000000,13.08
1624278600000,12.96
1624279200000,12.96
1624279800000,12.84
1624280400000,12.84
1624281000000,12.73
1624281600000,12.63
1624282200000,12.55
1624282800000,12.53
1624283400000,12.61
1624284000000,12.77
1624284600000,12.94
1624285200000,13.22
1624285800000,13.32
1624286400000,13.45
1624287000000,13.49
1624287600000,13.66
1624288200000,13.61
1624288800000,13.52
1624289400000,13.49
1624290000000,13.41
1624290600000,13.49
1624291200000,13.5
1624291800000,13.52
1624292400000,13.51
1624293000000,13.54
1624293600000,13.57
1624294200000,13.56
1624294800000,13.67
1624295400000,13.87
1624296000000,13.96
1624296600000,13.93
1624297200000,13.92
1624297800000,13.87
1624298400000,13.76
1624299000000,13.77
1624299600000,13.77
1624300200000,13.77
1624300800000,13.75
1624301400000,13.72
1624302000000,13.54
1624302600000,13.35
1624303200000,13.27
1624303800000,13.37
1624304400000,13.14
1624305000000,12.52
1624305600000,12.2
1624306200000,12.05
1624306800000,11.63
1624307400000,11.26
1624308000000,10.99
1624308600000,10.73
1624309200000,10.49
1624309800000,10.12
1624310400000,9.93
1624311000000,9.79
1624311600000,9.84
1624312200000,9.62
1624312800000,9.43
1624313400000,9.5
1624314000000,9.39
1624314600000,9.25
1624315200000,9.2
1624315800000,9.11
1624316400000,9.1
1624317000000,9.18
1624317600000,9.21
1624318200000,9.17
1624318800000,9.01
1624319400000,8.96
1624320000000,8.66
1624320600000,8.28
1624321200000,7.954
1624321800000,7.832
1624322400000,7.734
1624323000000,8.31
1624323600000,8.59
1624324200000,8.58
1624324800000,8.27
1624325400000,7.839
1624326000000,7.303
1624326600000,6.657
1624327200000,6.401
1624327800000,6.312
1624328400000,5.931
1624329000000,6.117
1624329600000,5.956
1624330200000,5.937
1624330800000,5.7
1624331400000,5.604
1624332000000,5.542
1624332600000,5.217
1624333200000,5.083
1624333800000,5.186
1624334400000,5.499
1624335000000,5.761
1624335600000,6.083
1624336200000,6.596
1624336800000,6.818
1624337400000,7.052
1624338000000,7.415
1624338600000,7.599
1624339200000,7.735
1624339800000,8.11
1624340400000,8.37
1624341000000,9.2
1624341600000,10.08
1624342200000,10.15
1624342800000,10.57
1624343400000,11.38
1624344000000,11.43
1624344600000,11.79
1624345200000,12.01
1624345800000,12.35
1624346400000,12.76
1624347000000,13.07
1624347600000,13.21
1624348200000,13.37
1624348800000,13.54
1624349400000,13.73
1624350000000,13.92
1624350600000,14.2
1624351200000,14.37
1624351800000,14.67
1624352400000,14.74
1624353000000,14.98
1624353600000,15.21
1624354200000,15.1
1624354800000,15.43
1624355400000,15.63
1624356000000,15.44
1624356600000,15.44
1624357200000,15.32
1624357800000,15.47
1624358400000,15.42
1624359000000,14.86
1624359600000,15.39
1624360200000,15.52
1624360800000,15.41
1624361400000,15.67
1624362000000,15.57
1624362600000,15.85
1624363200000,16.02
1624363800000,16.06
1624364400000,15.76
1624365000000,15.93
1624365600000,15.71
1624366200000,15.65
1624366800000,15.68
1624367400000,15.82
1624368000000,15.9
1624368600000,16.04
1624369200000,16.07
1624369800000,15.79
1624370400000,15.82
1624371000000,15.97
1624371600000,15.82
1624372200000,16.06
1624372800000,15.9
1624373400000,15.93
1624374000000,16.21
1624374600000,16.55
1624375200000,16.33
1624375800000,16.57
1624376400000,16.64
1624377000000,16.43
1624377600000,16.38
1624378200000,16.16
1624378800000,16.15
1624379400000,16.31
1624380000000,16.18
1624380600000,16.2
1624381200000,16.15
1624381800000,16.17
1624382400000,16.23
1624383000000,16.18
1624383600000,16.16
1624384200000,16.06
1624384800000,15.86
1624385400000,15.78
1624386000000,15.66
1624386600000,15.51
1624387200000,15.38
1624387800000,15.3
1624388400000,15.27
1624389000000,15.09
1624389600000,14.9
1624390200000,14.58
1624390800000,14.28
1624391400000,14.17
1624392000000,13.91
1624392600000,13.55
1624393200000,13.3
1624393800000,12.86
1624394400000,12.51
1624395000000,12.17
1624395600000,11.88
1624396200000,11.73
1624396800000,11.6
1624397400000,11.55
1624398000000,11.46
1624398600000,11.4
1624399200000,11.38
1624399800000,11.28
1624400400000,11.21
1624401000000,11.11
1624401600000,10.91
1624402200000,10.93
1624402800000,10.57
1624403400000,10.54
1624404000000,10.45
1624404600000,10.11
1624405200000,9.62
1624405800000,9.38
1624406400000,9.44
1624407000000,9.21
1624407600000,9.15
1624408200000,9.03
1624408800000,8.8
1624409400000,8.69
1624410000000,8.7
1624410600000,8.51
1624411200000,8.33
1624411800000,8.3
1624412400000,8.32
1624413000000,8.22
1624413600000,8.23
1624414200000,8.25
1624414800000,8.22
1624415400000,8.34
1624416000000,8.34
1624416600000,8.22
1624417200000,8.37
1624417800000,8.51
1624418400000,8.38
1624419000000,8.15
1624419600000,8.2
1624420200000,8.11
1624420800000,8.02
1624421400000,8.05
1624422000000,8.3
1624422600000,8.55
1624423200000,8.97
1624423800000,9.5
1624424400000,9.99
1624425000000,10.7
1624425600000,11.06
1624426200000,10.88
1624426800000,10.69
1624427400000,10.66
1624428000000,10.74
1624428600000,10.73
1624429200000,10.96
1624429800000,11.11
1624430400000,11.28
1624431000000,11.45
1624431600000,11.63
1624432200000,11.84
1624432800000,12.04
1624433400000,12.12
1624434000000,12.26
1624434600000,12.55
1624435200000,12.97
1624435800000,12.95
1624436400000,12.88
1624437000000,12.92
1624437600000,12.83
1624438200000,12.65
1624438800000,12.6
1624439400000,12.42
1624440000000,12.4
1624440600000,12.33
1624441200000,12.11
1624441800000,12.09
1624442400000,11.99
1624443000000,12.17
1624443600000,12.03
1624444200000,11.96
1624444800000,12
1624445400000,11.95
1624446000000,11.93
1624446600000,12.13
1624447200000,11.97
1624447800000,11.95
1624448400000,12.14
1624449000000,12.12
1624449600000,12.25
1624450200000,12.15
1624450800000,12.22
1624451400000,12.28
1624452000000,12.44
1624452600000,12.42
1624453200000,12.42
1624453800000,12.43
1624454400000,12.55
1624455000000,12.67
1624455600000,12.55
1624456200000,12.59
1624456800000,12.71
1624457400000,12.74
1624458000000,12.69
1624458600000,12.67
1624459200000,12.77
1624459800000,12.8
1624460400000,12.69
1624461000000,12.65
1624461600000,12.58
1624462200000,12.53
1624462800000,12.44
1624463400000,12.37
1624464000000,12.43
1624464600000,12.48
1624465200000,12.47
1624465800000,12.35
1624466400000,12.39
1624467000000,12.41
1624467600000,12.42
1624468200000,12.47
1624468800000,12.52
1624469400000,12.51
1624470000000,12.51
1624470600000,12.45
1624471200000,12.45
1624471800000,12.49
1624472400000,12.59
1624473000000,12.6
1624473600000,12.6
1624474200000,12.63
1624474800000,12.55
1624475400000,12.56
1624476000000,12.56
1624476600000,12.59
1624477200000,12.6
1624477800000,12.58
1624478400000,12.6
1624479000000,12.63
1624479600000,12.67
1624480200000,12.62
1624480800000,12.63
1624481400000,12.67
1624482000000,12.6
1624482600000,12.65
1624483200000,12.61
1624483800000,12.61
1624484400000,12.69
1624485000000,12.72
1624485600000,12.77
1624486200000,12.79
1624486800000,12.86
1624487400000,12.81
1624488000000,12.82
1624488600000,12.86
1624489200000,12.99
1624489800000,12.92
1624490400000,12.97
1624491000000,12.98
1624491600000,13.04
1624492200000,13.06
1624492800000,13.05
1624493400000,13.06
1624494000000,13.13
1624494600000,13.14
1624495200000,13.13
1624495800000,13.22
1624496400000,13.27
1624497000000,13.24
1624497600000,13.2
1624498200000,13.24
1624498800000,13.24
1624499400000,13.29
1624500000000,13.33
1624500600000,13.36
1624501200000,13.44
1624501800000,13.43
1624502400000,13.41
1624503000000,13.43
1624503600000,13.43
1624504200000,13.4
1624504800000,13.4
1624505400000,13.41
1624506000000,13.42
1624506600000,13.4
1624507200000,13.43
1624507800000,13.4
1624508400000,13.43
1624509000000,13.37
1624509600000,13.39
1624510200000,13.41
1624510800000,13.45
1624511400000,13.52
1624512000000,13.51
1624512600000,13.6
1624513200000,13.61
1624513800000,13.7
1624514400000,13.62
1624515000000,13.68
1624515600000,13.72
1624516200000,13.79
1624516800000,13.85
1624517400000,13.88
1624518000000,13.95
1624518600000,14.02
1624519200000,14.03
1624519800000,14.14
1624520400000,14.09
1624521000000,14.24
1624521600000,14.25
1624522200000,14.39
1624522800000,14.45
1624523400000,14.59
1624524000000,14.7
1624524600000,14.78
1624525200000,14.88
1624525800000,15.36
1624526400000,15.54
1624527000000,15.55
1624527600000,15.86
1624528200000,15.86
1624528800000,15.98
1624529400000,15.83
1624530000000,16.04
1624530600000,16.32
1624531200000,16.42
1624531800000,16.77
1624532400000,16.73
1624533000000,16.3
1624533600000,16.04
1624534200000,15.54
1624534800000,15.37
1624535400000,15.58
1624536000000,15.54
1624536600000,15.7
1624537200000,15.83
1624537800000,15.73
1624538400000,15.64
1624539000000,15.39
1624539600000,15.41
1624540200000,15.24
1624540800000,15.03
1624541400000,14.74
1624542000000,14.81
1624542600000,15.01
1624543200000,15.07
1624543800000,15.1
1624544400000,15.02
1624545000000,14.93
1624545600000,15.19
1624546200000,15.57
1624546800000,15.64
1624547400000,15.65
1624548000000,15.81
1624548600000,15.7
1624549200000,15.19
1624549800000,14.47
1624550400000,14.21
1624551000000,14.29
1624551600000,14.34
1624552200000,14.29
1624552800000,14.32
1624553400000,14.1
1624554000000,13.79
1624554600000,13.56
1624555200000,13.48
1624555800000,13.57
1624556400000,13.6
1624557000000,13.69
1624557600000,13.65
1624558200000,13.49
1624558800000,13.45
1624559400000,13.48
1624560000000,13.46
1624560600000,13.42
1624561200000,13.43
1624561800000,13.36
1624562400000,13.29
1624563000000,13.26
1624563600000,13.32
1624564200000,13.32
1624564800000,13.4
1624565400000,13.44
1624566000000,13.53
1624566600000,13.63
1624567200000,13.61
1624567800000,13.69
1624568400000,13.7
1624569000000,13.73
1624569600000,13.76
1624570200000,13.64
1624570800000,13.65
1624571400000,13.64
1624572000000,13.71
1624572600000,13.7
1624573200000,13.71
1624573800000,13.76
1624574400000,13.79
1624575000000,13.8
1624575600000,13.87
1624576200000,13.87
1624576800000,13.81
1624577400000,13.83
1624578000000,13.78
1624578600000,13.74
1624579200000,13.69
1624579800000,13.21
1624580400000,12.85
1624581000000,12.58
1624581600000,12.37
1624582200000,12.28
1624582800000,12.23
1624583400000,12.27
1624584000000,12.25
1624584600000,12.28
1624585200000,12.32
1624585800000,12.32
1624586400000,12.33
1624587000000,12.34
1624587600000,12.34
1624588200000,12.37
1624588800000,12.41
1624589400000,12.37
1624590000000,12.39
1624590600000,12.37
1624591200000,12.37
1624591800000,12.22
1624592400000,11.96
1624593000000,11.96
1624593600000,11.88
1624594200000,11.83
1624594800000,11.84
1624595400000,11.88
1624596000000,11.91
1624596600000,11.87
1624597200000,11.65
1624597800000,11.55
1624598400000,11.39
1624599000000,11.14
1624599600000,11.04
1624600200000,11
1624600800000,10.87
1624601400000,10.78
1624602000000,10.66
1624602600000,10.66
1624603200000,10.71
1624603800000,10.72
1624604400000,10.77
1624605000000,10.83
1624605600000,10.93
1624606200000,11.09
1624606800000,11.11
1624607400000,11.11
1624608000000,11.13
1624608600000,11.09
1624609200000,11.09
1624609800000,11.07
1624610400000,10.99
1624611000000,11.05
1624611600000,11.05
1624612200000,11.06
1624612800000,11.02
1624613400000,11.05
1624614000000,11.29
1624614600000,11.32
1624615200000,11.24
1624615800000,11.14
1624616400000,11.2
1624617000000,11.21
1624617600000,11.25
1624618200000,11.34
1624618800000,11.36
1624619400000,11.48
1624620000000,11.56
1624620600000,11.62
1624621200000,11.61
1624621800000,11.65
1624622400000,11.6
1624623000000,11.51
1624623600000,11.53
1624624200000,11.57
1624624800000,11.61
1624625400000,11.7
1624626000000,11.87
1624626600000,12.02
1624627200000,12.12
1624627800000,12.12
1624628400000,12.1
1624629000000,11.97
1624629600000,11.81
1624630200000,11.97
1624630800000,11.94
1624631400000,11.9
1624632000000,11.76
1624632600000,11.77
1624633200000,11.82
1624633800000,11.92
1624634400000,11.75
1624635000000,11.66
1624635600000,11.73
1624636200000,11.69
1624636800000,11.65
1624637400000,11.74
1624638000000,11.9
1624638600000,12
1624639200000,11.91
1624639800000,11.84
1624640400000,11.67
1624641000000,11.65
1624641600000,11.47
1624642200000,11.38
1624642800000,11.3
1624643400000,11.24
1624644000000,11.13
1624644600000,11.09
1624645200000,11.06
1624645800000,11.15
1624646400000,11.14
1624647000000,11.06
1624647600000,11.01
1624648200000,11.04
1624648800000,11.08
1624649400000,11.2
1624650000000,11.36
1624650600000,11.5
1624651200000,11.71
1624651800000,11.7
1624652400000,11.45
1624653000000,11.38
1624653600000,11.31
1624654200000,11.14
1624654800000,10.86
1624655400000,10.69
1624656000000,10.57
1624656600000,10.41
1624657200000,10.19
1624657800000,10.16
1624658400000,10.21
1624659000000,10.24
1624659600000,10.26
1624660200000,10.28
1624660800000,10.34
1624661400000,10.45
1624662000000,10.36
1624662600000,10.26
1624663200000,10.09
1624663800000,9.92
1624664400000,10.12
1624665000000,10.32
1624665600000,10.4
1624666200000,10.29
1624666800000,10.26
1624667400000,10.2
1624668000000,10.27
1624668600000,10.21
1624669200000,10.09
1624669800000,9.99
1624670400000,9.74
1624671000000,9.39
1624671600000,9.05
1624672200000,8.66
1624672800000,8.42
1624673400000,8.28
1624674000000,8.15
1624674600000,8.19
1624675200000,8.07
1624675800000,8.08
1624676400000,8.19
1624677000000,7.961
1624677600000,7.93
1624678200000,7.954
1624678800000,7.958
1624679400000,7.902
1624680000000,8.41
1624680600000,8.57
1624681200000,8.58
1624681800000,8.7
1624682400000,8.72
1624683000000,9
1624683600000,9.51
1624684200000,9.94
1624684800000,10.27
1624685400000,10.63
1624686000000,10.82
1624686600000,11.12
1624687200000,11.1
1624687800000,11.17
1624688400000,11.07
1624689000000,11.11
1624689600000,11.22
1624690200000,11.12
1624690800000,11.12
1624691400000,11.13
1624692000000,11.24
1624692600000,11.24
1624693200000,11.41
1624693800000,11.65
1624694400000,12.02
1624695000000,12.44
1624695600000,12.96
1624696200000,13.6
1624696800000,13.69
1624697400000,13.39
1624698000000,13.53
1624698600000,13.78
1624699200000,13.9
1624699800000,13.96
1624700400000,13.9
1624701000000,13.82
1624701600000,14.02
1624702200000,14.3
1624702800000,14.55
1624703400000,14.84
1624704000000,15.14
1624704600000,15.23
1624705200000,15.42
1624705800000,16.09
1624706400000,16.44
1624707000000,16.92
1624707600000,17.39
1624708200000,17.62
1624708800000,17.81
1624709400000,17.94
1624710000000,18.04
1624710600000,17.85
1624711200000,17.67
1624711800000,18.24
1624712400000,18.45
1624713000000,17.95
1624713600000,18.14
1624714200000,18.57
1624714800000,18.84
1624715400000,18.12
1624716000000,18.16
1624716600000,18.74
1624717200000,18.55
1624717800000,18.54
1624718400000,18.5
1624719000000,18.42
1624719600000,18.71
1624720200000,18.46
1624720800000,18.75
1624721400000,19.08
1624722000000,18.92
1624722600000,18.97
1624723200000,18.8
1624723800000,18.73
1624724400000,18.56
1624725000000,18.85
1624725600000,18.81
1624726200000,18.67
1624726800000,18.34
1624727400000,18.31
1624728000000,18.08
1624728600000,17.91
1624729200000,17.63
1624729800000,17.41
1624730400000,17.38
1624731000000,17.18
1624731600000,17.09
1624732200000,16.92
1624732800000,16.76
1624733400000,16.32
1624734000000,16.12
1624734600000,15.93
1624735200000,15.82
1624735800000,15.75
1624736400000,15.49
1624737000000,15.24
1624737600000,14.85
1624738200000,14.48
1624738800000,14.37
1624739400000,14.07
1624740000000,13.81
1624740600000,13.51
1624741200000,13.37
1624741800000,13.12
1624742400000,12.9
1624743000000,12.65
1624743600000,12.47
1624744200000,12.11
